banco;moneda_total;fecha;metrica;delta_aa;delta_ma;moneda_total_1_month_ago;moneda_total_12_months_ago;moneda_total_24_months_ago;moneda_total_36_months_ago;ms_moneda_total;ms_delta_aa;ms_delta_ma;ms_moneda_total_1_month_ago;ms_moneda_total_12_months_ago;ms_moneda_total_24_months_ago;ms_moneda_total_36_months_ago;fecha_date
THE BANK OF TOKYO-MITSUBISHI UFJ LTD.;0.0;201605;ctra_consumo_cuotas;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2016-05-01
THE BANK OF TOKYO-MITSUBISHI UFJ LTD.;0.0;201606;ctra_consumo_cuotas;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2016-06-01
THE BANK OF TOKYO-MITSUBISHI UFJ LTD.;0.0;201607;ctra_consumo_cuotas;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2016-07-01
THE BANK OF TOKYO-MITSUBISHI UFJ LTD.;0.0;201608;ctra_consumo_cuotas;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2016-08-01
THE BANK OF TOKYO-MITSUBISHI UFJ LTD.;0.0;201609;ctra_consumo_cuotas;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2016-09-01
THE BANK OF TOKYO-MITSUBISHI UFJ LTD.;0.0;201610;ctra_consumo_cuotas;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2016-10-01
THE BANK OF TOKYO-MITSUBISHI UFJ LTD.;0.0;201611;ctra_consumo_cuotas;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2016-11-01
THE BANK OF TOKYO-MITSUBISHI UFJ LTD.;0.0;201612;ctra_consumo_cuotas;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2016-12-01
SUCURSALES DE BANCOS EXTRANJEROS;0.0;202007;ctra_deudores_en_cc;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2020-07-01
SUCURSALES DE BANCOS EXTRANJEROS;0.0;202008;ctra_deudores_en_cc;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2020-08-01
SUCURSALES DE BANCOS EXTRANJEROS;0.0;202009;ctra_deudores_en_cc;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2020-09-01
SUCURSALES DE BANCOS EXTRANJEROS;0.0;202010;ctra_deudores_en_cc;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2020-10-01
SUCURSALES DE BANCOS EXTRANJEROS;0.0;202007;ctra_consumo_det;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2020-07-01
SUCURSALES DE BANCOS EXTRANJEROS;0.0;202008;ctra_consumo_det;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2020-08-01
SUCURSALES DE BANCOS EXTRANJEROS;0.0;202009;ctra_consumo_det;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2020-09-01
SUCURSALES DE BANCOS EXTRANJEROS;0.0;202010;ctra_consumo_det;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2020-10-01
SUCURSALES DE BANCOS EXTRANJEROS;0.0;202007;ctra_consumo_ndet;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2020-07-01
SUCURSALES DE BANCOS EXTRANJEROS;0.0;202008;ctra_consumo_ndet;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2020-08-01
SUCURSALES DE BANCOS EXTRANJEROS;0.0;202009;ctra_consumo_ndet;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2020-09-01
SUCURSALES DE BANCOS EXTRANJEROS;0.0;202010;ctra_consumo_ndet;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2020-10-01
SUCURSALES DE BANCOS EXTRANJEROS;0.0;202007;ctra_consumo_total;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2020-07-01
SUCURSALES DE BANCOS EXTRANJEROS;0.0;202008;ctra_consumo_total;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2020-08-01
SUCURSALES DE BANCOS EXTRANJEROS;0.0;202009;ctra_consumo_total;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2020-09-01
SUCURSALES DE BANCOS EXTRANJEROS;0.0;202010;ctra_consumo_total;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2020-10-01
SUCURSALES DE BANCOS EXTRANJEROS;0.0;202007;ctra_consumo_tarjetas;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2020-07-01
SUCURSALES DE BANCOS EXTRANJEROS;0.0;202008;ctra_consumo_tarjetas;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2020-08-01
SUCURSALES DE BANCOS EXTRANJEROS;0.0;202009;ctra_consumo_tarjetas;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2020-09-01
SUCURSALES DE BANCOS EXTRANJEROS;0.0;202010;ctra_consumo_tarjetas;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2020-10-01
SUCURSALES DE BANCOS EXTRANJEROS;0.0;202007;ctra_consumo_cuotas;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2020-07-01
SUCURSALES DE BANCOS EXTRANJEROS;0.0;202008;ctra_consumo_cuotas;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2020-08-01
SUCURSALES DE BANCOS EXTRANJEROS;0.0;202009;ctra_consumo_cuotas;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2020-09-01
SUCURSALES DE BANCOS EXTRANJEROS;0.0;202010;ctra_consumo_cuotas;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2020-10-01
SISTEMA FINANCIERO CHILE;836411000000.0;202007;ctra_deudores_en_cc;0.0;0.0;0.0;0.0;0.0;0.0;0.9982384259452647;0.0;0.0;0.0;0.0;0.0;0.0;2020-07-01
SISTEMA FINANCIERO CHILE;727205000000.0;202008;ctra_deudores_en_cc;0.0;-0.1305649973517804;836411000000.0;0.0;0.0;0.0;0.9976102514997661;0.0;-0.0006292829740587313;0.9982384259452647;0.0;0.0;0.0;2020-08-01
SISTEMA FINANCIERO CHILE;695766000000.0;202009;ctra_deudores_en_cc;0.0;-0.04323265104062812;727205000000.0;0.0;0.0;0.0;0.9975955024281554;0.0;-1.4784402614709258e-05;0.9976102514997661;0.0;0.0;0.0;2020-09-01
SISTEMA FINANCIERO CHILE;701780000000.0;202010;ctra_deudores_en_cc;0.0;0.008643710672841198;695766000000.0;0.0;0.0;0.0;0.9978884204389527;0.0;0.0002936240290620784;0.9975955024281554;0.0;0.0;0.0;2020-10-01
SISTEMA FINANCIERO CHILE;2305672000000.0;202007;ctra_consumo_det;0.0;0.0;0.0;0.0;0.0;0.0;0.9889560868483586;0.0;0.0;0.0;0.0;0.0;0.0;2020-07-01
SISTEMA FINANCIERO CHILE;2235099000000.0;202008;ctra_consumo_det;0.0;-0.030608429993511654;2305672000000.0;0.0;0.0;0.0;0.9871647763408946;0.0;-0.0018113145075758785;0.9889560868483586;0.0;0.0;0.0;2020-08-01
SISTEMA FINANCIERO CHILE;2115027000000.0;202009;ctra_consumo_det;0.0;-0.05372111034007887;2235099000000.0;0.0;0.0;0.0;0.9856506935816551;0.0;-0.001533769027752041;0.9871647763408946;0.0;0.0;0.0;2020-09-01
SISTEMA FINANCIERO CHILE;1970092000000.0;202010;ctra_consumo_det;0.0;-0.0685263119572469;2115027000000.0;0.0;0.0;0.0;0.9821251597748296;0.0;-0.0035768592563095725;0.9856506935816551;0.0;0.0;0.0;2020-10-01
SISTEMA FINANCIERO CHILE;21694531000000.0;202007;ctra_consumo_ndet;0.0;0.0;0.0;0.0;0.0;0.0;0.9659699614471918;0.0;0.0;0.0;0.0;0.0;0.0;2020-07-01
SISTEMA FINANCIERO CHILE;21104189000000.0;202008;ctra_consumo_ndet;0.0;-0.027211558525971347;21694531000000.0;0.0;0.0;0.0;0.9642988720353867;0.0;-0.001729960017909482;0.9659699614471918;0.0;0.0;0.0;2020-08-01
SISTEMA FINANCIERO CHILE;20885351000000.0;202009;ctra_consumo_ndet;0.0;-0.010369410546882452;21104189000000.0;0.0;0.0;0.0;0.9646726953116448;0.0;0.00038766329309192216;0.9642988720353867;0.0;0.0;0.0;2020-09-01
SISTEMA FINANCIERO CHILE;20731038000000.0;202010;ctra_consumo_ndet;0.0;-0.0073885758491681885;20885351000000.0;0.0;0.0;0.0;0.9652105799661369;0.0;0.0005575825428731918;0.9646726953116448;0.0;0.0;0.0;2020-10-01
SISTEMA FINANCIERO CHILE;24000203000000.0;202007;ctra_consumo_total;0.0;0.0;0.0;0.0;0.0;0.0;0.9681317132055074;0.0;0.0;0.0;0.0;0.0;0.0;2020-07-01
SISTEMA FINANCIERO CHILE;23339288000000.0;202008;ctra_consumo_total;0.0;-0.02753789207532953;24000203000000.0;0.0;0.0;0.0;0.9664426706648414;0.0;-0.00174464126897933;0.9681317132055074;0.0;0.0;0.0;2020-08-01
SISTEMA FINANCIERO CHILE;23000378000000.0;202009;ctra_consumo_total;0.0;-0.014521008524338908;23339288000000.0;0.0;0.0;0.0;0.9665643974292836;0.0;0.00012595342500598683;0.9664426706648414;0.0;0.0;0.0;2020-09-01
SISTEMA FINANCIERO CHILE;22701130000000.0;202010;ctra_consumo_total;0.0;-0.013010568782826137;23000378000000.0;0.0;0.0;0.0;0.9666553711299196;0.0;9.412068236525073e-05;0.9665643974292836;0.0;0.0;0.0;2020-10-01
SISTEMA FINANCIERO CHILE;8022770000000.0;202007;ctra_consumo_tarjetas;0.0;0.0;0.0;0.0;0.0;0.0;0.9864152840104174;0.0;0.0;0.0;0.0;0.0;0.0;2020-07-01
SISTEMA FINANCIERO CHILE;7742769000000.0;202008;ctra_consumo_tarjetas;0.0;-0.034900788630360835;8022770000000.0;0.0;0.0;0.0;0.9854206088485087;0.0;-0.0010083736313013514;0.9864152840104174;0.0;0.0;0.0;2020-08-01
SISTEMA FINANCIERO CHILE;7636290000000.0;202009;ctra_consumo_tarjetas;0.0;-0.013752056919171918;7742769000000.0;0.0;0.0;0.0;0.985431625501682;0.0;1.1179645599490584e-05;0.9854206088485087;0.0;0.0;0.0;2020-09-01
SISTEMA FINANCIERO CHILE;7500247000000.0;202010;ctra_consumo_tarjetas;0.0;-0.01781532655255369;7636290000000.0;0.0;0.0;0.0;0.985550725348016;0.0;0.00012086058865157234;0.985431625501682;0.0;0.0;0.0;2020-10-01
SISTEMA FINANCIERO CHILE;15133493000000.0;202007;ctra_consumo_cuotas;0.0;0.0;0.0;0.0;0.0;0.0;0.9611103094886498;0.0;0.0;0.0;0.0;0.0;0.0;2020-07-01
SISTEMA FINANCIERO CHILE;14862151000000.0;202008;ctra_consumo_cuotas;0.0;-0.01792989893344521;15133493000000.0;0.0;0.0;0.0;0.9589186073355302;0.0;-0.0022803856451042437;0.9611103094886498;0.0;0.0;0.0;2020-08-01
